zip,work_outside_home,Commute,beh_read,beh_type,beh_handheld,beh_handfree,beh_app,acc_handheld,acc_handfree,acc_read,acc_type,acc_app,threat_talk,threat_type,threat_aggressive,threat_spdfwy,threat_spdres,threat_lights,threat_asleep,threat_alcohol,threat_cannabis,threat_app,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_handheldspkr,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,will30_handheld,will30_type,will30_app,willever_tixtalk,willever_tixtext,willever_crashtalk,willever_crashtext,stop_family,stop_friends,stop_pass,stop_bt,stop_tix124,stop_tix240,stop_ins,stop_work,stop_app,stop_block,stop_crash,stop_kill,stop_none,Gender,Age,agegrp1,Race,Education,Income,drive30days,Urbanicity,weight,Language,legal_gps2122,legal_music2122,legal_app2122,year,month,day
98001,1,1,2,2,3,5,3,3,2,3,3,3,1,2,2,3,2,1,1,1,2,2,2,1,2,2,2,3,2,1,2,2,1,2,2,2,2,2,4,4,4,4,2,2,2,1,2,2,2,2,1,2,2,2,2,1,46,2,3,2,3,1,2,0.611520575,,,,,2018,6,17
98052,1,1,5,5,5,2,3,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,3,2,2,2,2,3,2,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,38,2,4,3,3,2,2,1.077167593,,,,,2018,6,17
98042,1,1,5,5,2,2,5,4,2,4,4,4,3,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,3,2,2,1,2,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,63,3,3,1,4,1,2,1.459665935,,,,,2018,6,17
98028,2,,5,5,5,5,5,4,1,4,4,4,1,1,2,1,1,1,1,1,1,1,3,3,1,3,3,1,3,1,3,3,1,2,2,4,4,4,4,4,4,4,1,1,2,1,1,1,1,2,1,1,1,2,2,2,41,2,3,1,1,2,2,0.602724529,,,,,2018,6,17
98003,2,,5,5,5,3,5,3,3,4,4,4,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,3,2,2,2,2,2,3,3,3,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,39,2,4,3,2,1,2,0.498098705,,,,,2018,6,17
98006,2,,5,5,5,3,5,3,1,3,3,3,2,1,1,3,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,1,1,2,2,73,4,3,3,5,2,2,2.33654296,,,,,2018,6,17
98109,1,3,5,5,5,5,5,4,3,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,1,1,1,1,2,2,2,1,1,1,1,1,2,1,31,1,4,4,5,2,1,2.263032186,,,,,2018,6,17
98168,2,,5,5,5,5,5,4,3,4,4,4,2,1,2,3,2,2,1,1,1,1,2,3,2,2,2,3,2,2,2,2,3,2,2,4,4,4,4,4,4,4,1,1,1,2,1,1,1,2,2,2,1,1,2,2,49,2,3,3,4,1,1,1.890664753,,,,,2018,6,17
98038,1,1,5,5,3,5,2,5,5,3,3,5,5,2,2,5,2,2,1,1,2,5,2,3,2,2,2,1,2,3,2,2,1,3,2,2,4,2,5,4,4,4,2,2,1,2,1,1,1,2,2,2,1,1,2,2,35,2,3,3,1,1,2,0.602724529,,,,,2018,6,17
98008,1,1,1,3,3,2,2,2,1,3,4,2,3,1,2,4,1,1,1,1,1,3,2,2,2,2,2,1,3,3,2,2,1,2,2,2,4,3,4,4,4,4,1,1,2,2,2,2,2,2,2,2,2,1,2,2,20,1,3,2,3,1,2,0.98247831,,,,,2018,6,17
